team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Winnipeg Jets,8480145,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,SOG,1.0,2166,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,GOALS,0.0,5483,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,ASSISTS,0.0,5095,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,POINTS,0.0,4658,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,BLOCKS,0.0,3925,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479661,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,SOG,0.0,1437,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,GOALS,0.0,5296,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,ASSISTS,0.0,5064,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,POINTS,0.0,4471,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,BLOCKS,1.0,1364,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476374,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,SOG,2.0,1231,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,GOALS,0.0,5366,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,ASSISTS,0.0,5069,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,POINTS,0.0,4552,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,BLOCKS,2.0,784,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480355,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,SOG,1.0,1955,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,GOALS,0.0,5355,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,ASSISTS,0.0,5099,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,POINTS,0.0,4551,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,BLOCKS,1.0,1655,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8473604,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,SOG,0.0,1594,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,GOALS,0.0,5504,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,ASSISTS,0.0,5075,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,POINTS,0.0,4647,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,BLOCKS,0.0,4569,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8474679,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482765,,SOG,0.0,1676,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482765,,GOALS,0.0,5392,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482765,,ASSISTS,0.0,5158,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
